Review Text,Review Title,ReviewRating,Review Stars
"I was skeptical, but the ingredients all have published scientific studies backing them so I figured for roughly $3.00 per hangover, I’ll give it a try. (I would pay $300 to get rid of some of my hangovers). Drank heavily, took 3 caps at night before bed. Usually wake up with heart palpitations, nausea, sweating, headache etc. used twice so far and I have only woken up tired. You definitely still feel like you drank, but this is the absolute only product I’ve tried that has quelled the symptoms of a hangover. A must have, from someone in the medical field. *Not Medical advice",You definitely still feel like you drank,324 people found this helpful,5.0 out of 5 stars
"I hesitated to actually leave a review for this product, as my public and very actual name is here for all to see. I wouldn’t want anyone to think I’m a secret boozehound and nursing a daily hangover. I felt compelled to review this product,however, after seeing the very few negative reviews (especially the one that has the nerve to site other sites/products) since i know how important reviews are to me on this site. I like to have a drink or two at night on occasion. I eat the majority of my food in the day, and I am slight in stature-so this occasionally causes me to wake up feeling “soggy”, not hungover, but not feeling great or even good. I saw an ad for this product on instagram of all things, and after reading reviews here, I ordered a bottle. Ive had it for close to a week, i drank 2 nights out of that week and both nights i took thrive before bed and the results are truly undeniable. I didnt feel slightly nauseous, i didnt feel kind of headachy, i felt great. I have already recommended this to a few friends and am DEFINITELY going to order again when i am down to a few doses. This is a great product.",I dont plan to ever be without this again if i can help it.,544 people found this helpful,5.0 out of 5 stars
"I purchased this product a bit reluctantly as it was recommended by a coworker who swears by it. I’ve tried these alocohol recovery products in the past (AKA charcoal tablets) as I can drink with the best of them but my recovery time can only be described or compared to waiting at the DMV or on hold with the post office trying to recover a lost package. Now, the reason I bought this was for a recent bachelor party to Las Vegas that I knew would be full of booze and shenanigans...The first night out that I took it was a fairly mild drinking night. We started with a few beers and eventually a few bottles of Jameson. Now, this product is great, but when you’re 38, out of shape, and don’t party much anymore this was an apocalyptic amount of consumption. I felt the ginger root kick in about the time I was hanging over the rail vomiting into the Belagio Fountains.. shortly after this I felt the vitamins B, C, and E kick in about the time we were running down the strip trying to outrun a a lovely fellow and his 2 female employees who apparently wanted us to pay for the taxi ride from a club (Not a stripper club Mom.) They May have been his sisters) He was certainly concerned with the gap wage everyone’s been talking about lately, by the time we made it back to the Hardrock I felt like a million bucks!  Well, $999,945.00 as I had run smooth out of one of my leather slippers! Needless to say, a short nap and we were ready to hit the pool the next morning which conveniently enough was called Rehab. Mahalos!!",Sweet Mother of God...,212 people found this helpful,5.0 out of 5 stars
"I am a healthy female that normally does not have issues with health supplements. However I heard about this product on Instagram from a follower. I purchased and started taking 1-2 capsules at night after 1-2 cocktails. I noticed after a week I had blood in my stool.. I racked my head to figure out what this could be from.... (I have medical schooling background so very familiar with the human body ) NOTHING in my diet has changed, nothing in my (potty breaks) has changed, Nothing new besides this product.. Soooo I stopped taking it to see if that was the true case and It was! I have been off of it for 4 days and I am back to normal... Please be careful with taking this product. Pay close attention to your body and how it reacts if taking this supplement!!!!",BAD REACTION !!!!,125 people found this helpful,1.0 out of 5 stars
"This is serious magic. Literally Gandalf made these pills so I can drink and be merry even the next day. I can honestly say I haven't had a hangover since taking these pills. I would say I am a medium drinker (Thurs - Sat) beer and wine and when taking Cheers, It's like my mind is confused that my body doesn't feel like doggie doo.In fact just the opposite. I have already got my neighbors hooked on it as it is a must have if you like to imbibe :)oh and if you want a super combo: 2 Advil, 3 Cheers, 2 Glasses of water before bed = Next Day Hero",It's Actual Magic,159 people found this helpful,5.0 out of 5 stars
"Did not work one bit.  I had 3 glasses of wine early in the evening (which is a lot for me) took 3 Thrive capsules within an hour and went to bed early.  Next morning I felt just as I do any other time I drink wine:  headache, slightly upset stomach, and foggy.  I was encouraged by all of the positive reviews but now I wonder if they were actual public reviews.  The manufacturer must be laughing at people like me all the way to the bank!  The only way to avoid the effect of alcohol is to avoid alcohol otherwise you need to suck it up and deal with the headache.",Doesn’t Work!  Don’t be  foolish!,151 people found this helpful,1.0 out of 5 stars
"I have tried many alcohol support supplements and this one is a complete waste of money. It does not work and although the packaging is fancy and I had high hopes since the company was  on SharkTank, the product is garbage. I have used Drinkwel, tried my own  mix of vitamins and minerals, and even used  Emergen-C, and everything else works much better(but Drinkwel  is the best I have found, and no I do not work for that company).. I am convinced that the label with vitamin concentrations is not truthful as other supplement  state similar ingredients and they actually do work and cause my urine to be neon, which this product did not. Do not bother with this product. I wish it worked but it appears they spend more money of the packaging than the actual vitamin.",Do not waste your money,88 people found this helpful,1.0 out of 5 stars
"I definitely think these work. I'm less frequently hungover, even if only sleeping better so I'm less groggy the next day. The amount of alcohol I drink and food/water intake still matter, but I was getting hungover even despite trying to hydrate and not overdrink (oh how I hate aging), so this makes me less anxious about having more than 2 or 3 drinks. My main issue is how few pills are in the bottle. There is a lot of empty space, and it only has 30 pills. If you take 3 as a serving, that's only 10 servings, which runs out super fast. At least offer these in bulk??",they work but I wish more came in a bottle,135 people found this helpful,4.0 out of 5 stars
The morning after a night out with my friends I was feeling miserable and this product popped up on my feed. I thought what’s the worst that could happen if I bought it? Maybe it’d work and I’d feel better or maybe it wouldn’t. Well boy was that the best $30 I ever spent. I used it for the first time this past weekend and woke up feeling better than I ever had. I was a little groggy at first but within the hour it felt as if I hadn’t even drank. This is by far the best product I have used when it comes to hangovers and it’s not even close. I would highly recommend this to anyone who’s looking to feel brand new after a night of drinking!,Unbelievable results!,91 people found this helpful,5.0 out of 5 stars
"i gotta give it the credit it deserves, this stuff will be a game changer for many people, particularly for things like karaoke nights, bachelor(ette) parties, Vegas trips, etc.! here's my quick thoughts:does it entirely cure a hangover? no.does it make you feel SIGNIFICANTLY better after a night of drinking than you would have if you had just had water and aspirin? absolutely.in my limited experience with this, the only real con is that it's a bit expensive at $30/bottle, especially if you take 3 caplets each time like they recommend. BUT, if you think about it as the per usage cost, i think most people would gladly pay $3 to not feel completely miserable after a long night of drinking.some personal observations:- i've taken this with very little water at the end of the night and yet it somehow manages to assist in preventing miserable headaches that usually occur without proper hydration. this is a giant plus, and means you don't have to rely on any over-the-counter pain relievers i know many people don't like taking, particularly given the warnings that accompany most when it comes to alcohol consumption, etc.- i haven't had an insane night (i really don't like getting wasted to begin with), but on a night of say 4-5 drinks, ive taken just 1 or 2 caplets and it seemed to be just fine. i mention this because i think you can probably ration your bottles depending on your night. having a tough time staying upright? you should prob take 3. just had a martini or 2 with a coworker and usually feel off the next morning? just try 1 caplet and if it doesn't work, try 2 next time.- not sure if any of the vitamins/ingredients would impact this, but i found that i also slept extremely well, even if not a lot of hours, which is sort of amazing.- expiration dates seem to be a little under a year, so don't buy too many in bulk. perhaps the effectiveness is the same and it's just an FDA guideline or something (?) but worth noting if you are religious about shelf life dates.overall, you may not need to use this very often, but its well worth the $30 to have a bottle for those times you maybe stretched your liver's tolerance and only allowed yourself 5 hours of sleep. highly recommend it.",absolutely worth the price of admission! these things work!,36 people found this helpful,5.0 out of 5 stars
"I first tried a free sample of Cheers through a Facebook ad, and was automatically enrolled in their auto ship program. I typically don’t like these practices from companies. But the free sample REALLY worked! And in between the free sample and my next delivery, we traveled to see some friends so I ordered more through Amazon to get it quicker. Let me first say that this stuff really does work. I woke up the next day with no headache, no pain in my eyes, a little tired but not hopelessly tired. I also didn’t have the “wake up at 3am from drinking too much” episode. Absolutely no nausea either. And most importantly I didn’t have the day-after-partying blues. I do want to mention that just one pill before bed worked just fine for me. My husband tried anywhere from one pill, to the suggested 3 over the course of our week long vacation and found absolutely no difference between using one, two or three pills.",Will change your day-after-party mood,61 people found this helpful,5.0 out of 5 stars
"I’m not a big drinker, but I definitely get killer hangovers. After a night of margarita drinking, I took these pills before going to bed. I only got a few hours of sleep and felt way better than expected. I was groggy simply from not enough sleep but these pills definitely are a miracle.",It works!,124 people found this helpful,5.0 out of 5 stars
Alcohol always gave me a migraine headache the next day.  I tried a wine sulfate filter that helped although I would still wake the next day with a groggy feeling and slight headache.  But there wasn't anything for cocktails.  My daughter-in-law gave me two Thrive+ capsules at a family wedding after I had a glass of champagne and a cocktail at the reception.  It worked!  I awoke the next morning feeling great.  No headache.  No sluggishness.  No groggy feeling.  I was astounded that after all of these years I can have a drink and not suffer the next day.  It really works!,It Really Works!,87 people found this helpful,5.0 out of 5 stars
This stuff is amazing!  It makes the day after 1-2 too many cocktails/glasses of wine SO much more tolerable. It’s not going to save you if you’ve downed a bottle of jack Daniels (you’re screwed not matter what) but if you’ve had 1 too many you won’t even notice it the next day. Much more effective than the standard ibuprofen + water combination.,Perfect solution to a couple too many glasses of wine,172 people found this helpful,5.0 out of 5 stars
"Cheers is awesome for responsible drinkers. If you’ve downed a bottle of tequila on an empty stomach and don’t want to pay the consequences, then I’m sorry. This product is not for you. But if you have a bottle of wine over dinner and know you need to bring your A game the next day, ORDER CHEERS RIGHT NOW. I find after I take Cheers, I’m able to wake up on time and think clearly which is super important for pretty much anyone with a job. The all around quality is exceptional. They have a citrus tab so the flavor is refreshing and the packaging looks so nice that I can leave the jar on my nightstand. Also, you get a koozie! Not only a fun freebie but a great way to remember to take your cheers before bed! It’s evident in the packaging that this team truly believes in their product, further emphasized by the handwritten thank you card that explicitly states their guarantee. I know this doesn’t mean I can be a wino but it at least helps reduce the effects on those nights when I indulge.",Fantastic for work/life balance,72 people found this helpful,5.0 out of 5 stars
"So I had a total of 2 double whiskey sodas and a glass of wine.I wanted to test the product which is why I mixed a bit and asked for doubles.I NEED to know that I'll be alright even in the worst cases. Two doubles and a glass of wine isnt a lot but I know myself and I'll get a headache the next day cause of the tannins. I took three capsules right after my last drink.Not only are they hard to swallow , but they have a bad smell and taste. It's not unbearable and would be ok if the product had worked.I get ugly hangovers but this one was the worst!! I felt depressed, sweaty, disgusting and a bit suicidal, and I had the glory of puking my brains out(I DIDN'T EXPECT TO FEEL THIS BAD). I am willing to give this product another try but scared I'll be in a bed coma after. Disappointed! I'm hoping it was a one time fluke.",Worst hangover ever,16 people found this helpful,1.0 out of 5 stars
It kept me awake all night the times that I tried it. I am in the process of trying to get a refund.,Does Not Work,27 people found this helpful,1.0 out of 5 stars
"Cheers is not the same as the old Thrive (after alcohol aid) formula!  I presumed they were the same until I ordered  them and  compared the ingredients. The ingredients are mostly the same except some of the ingredients have been reduced in dosage dramatically!  Also Cheers has a very strong lemon aroma and flavor which, to me, after drinking, is nauseating.  I’m not saying these don’t work, I’m just saying they don’t work as well as the old formula did.Furthermore,  Reading the reviews, most of the five star reviews were in 2018 while it was still Thrive.",Not the same as old Thrive+ After Alcohol Aid!,12 people found this helpful,2.0 out of 5 stars
"These are worthless. How they get such positive reviews is beyond me. I bought a bottle and split it between 4 people. None of us have noticed any real effect. If anything, I felt worse than I'd normally feel. Typical snake oil...",They don't work at all.,22 people found this helpful,1.0 out of 5 stars
This is the most amazing hangover cure I have ever tried.  And believe me.. I have tried it all... it doesn't make me crave more drinking when I wake up.. it doesn't make my stomach hurt.. it doesn't make me feel dehydrated... literally has been the answers to my prayers. I'm not a huge drinker but I just always get hangovers and thought I would never ever find a cure until now... I took it on vacation with me and seriously haven't been down a single day due to a hangover. I am amazed. Thank you so much for inventing this product. I even just bought 3 more bottles.,This is the most amazing hangover cure I have ever tried,111 people found this helpful,5.0 out of 5 stars
"The FDA recalled my product for it being potentially poison. two months after the FDA ordered this recall, I got a notice in snail mail with a line and half long link I could go to for details on the recall.  The manufacturer took no responsibility nor gave any more details, nor offered to refund me for the recalled product. This company is committing fraud, even if you think their product works, which it doesn't.  If it was worth while, I would have finished the bottle before it was recalled.  This was a bad product sold by unscrupulous salesmen.",Recalled for potentially being poison,9 people found this helpful,1.0 out of 5 stars
"I feel like this is actually making me feel worse... I’ve always drank my traditional medicinals detox tea with some chicory root and I feel wonderful in the morning. I’ve had this two nights now and each morning I’ve woken up feeling out of it and shaky. I don’t normally give bad reviews, but it doesn’t seem to be doing well for me.",Not effective for me,21 people found this helpful,1.0 out of 5 stars
"In my personal experience, this product’s main effect is to completely prevent sleep for 24hrs, increase your heart rate, and ruin your quality of life for days. I tried it twice, and on both occasions, I was quite literally wide awake and wired ALL NIGHT.My first time trying cheers, I took a couple pills before drinking and 3 before bed. It was a moderate night out of about 6 or 7 drinks. I was wide awake in bed until after sunrise, and had one of the worst hangovers I can remember the next day.My second time trying cheers, I took just 2 pills after a peaceful night drinking 2 glasses of wine at home. I was actually quite tired at the time, and convinced myself the first experience must have been caused by something else. After taking Cheers I laid wide awake in bed until 9 or 10am. During that time, finding via Amazon reviews that many others had this experience and worse, I literally made myself throw up in attempt to get this product out of my system. I wouldn’t recommend the experience.I’ve never had a sensitivity to any medication or supplement. I’ve read extensive research on DHM, and used Cheers’ competitor FlyBy for years with great results and without these side effects (they were out of stock). I don’t know what it is exactly, but it seems to me that Cheers is recklessly formulated and may contain a stimulant that is not advertised. Avoid it at all costs.","If you want to quit sleeping and be unwell for a whole weekend, you’ll love this product.",3 people found this helpful,1.0 out of 5 stars
"I took Thrive+ after a heavy day of Mardi Gras day-drinking and I felt perfectly fine the next morning. I haven't drunk like that, EVER, and I should have been suffering from the worst hangover of my life, but instead, I felt good enough to go to brunch and drink some more! Great product and definitely worth the money!",No hangover after worst night of drinking,167 people found this helpful,5.0 out of 5 stars
"Unfortunately this product does not help with the negative effects from drinking AT ALL. I do not get typical hangovers (no headaches, vomiting, or nausea) I just usually feel very groggy and not clear headed the day after drinking. I tried Thrive or Cheers (whatever it's called now) three different times. The first time I took 3 pills immediately after my last drink. The next time I tried 4. And the next time 5 pills. Each time not only did I still feel groggy, sluggish, and not clear headed after drinking, but I also had a HORRIBLE headache and nausea which I never usually get.",Does not work,12 people found this helpful,1.0 out of 5 stars
"I purchased this for a group of us 30 somethings that wanted to party like we were 21 again. We went out, drank pretty heavily and, before we headed home, popped three or 4 of these each. Most of us still woke up with hangovers. When i wrote Cheers about the problem they said ""next time take the pill immediately after your last drink."" I'm WAAAAY too busy being drunk to KNOW that my last drink is FOR SURE my last drink. Disappointment. 4/10 no bueno.",Does this even work?,9 people found this helpful,2.0 out of 5 stars
It works my liver thanks you guys. Little expensive for small amount. I saw you guys on shark tank. You were not treated fairly and those idiots lost a good deal. Keep your faith up believe all is possible.,You were not treated fairly and those idiots lost a good deal. Keep your faith up believe all is ...,62 people found this helpful,5.0 out of 5 stars
"This stuff is wonderfully enabling. Takes away the harsh bite of the hangover.What it doesn’t do though is kick the withdrawal symptoms, which if you’re a regular drinker you know can sometimes be worse than the hangover. (shakes, arrhythmia, anxiety, cravings etc)I’ve bought at least 5 jars of these and am a regular drinker - after taking the pills frequently (not every night but on nights I drank extra heavy (3 times a week) )  I have stopped taking them because of the adverse side effects I’ve experienced.Difficulty swallowing is the worst. The following day after taking the pills swallowing food was painful. Any other swallowing was difficult as if something was stuck in my throat. This side effect subsided but lasted for at least a week.Another terrifying side effect is short term memory loss. Now, before you try and say ‘wElL yOuRe a DrInKeR tHaT cOMeS wItH tHe tErRiToRy” I’ll tell you - as a regular drinker (for a few years)  - my short term memory loss has not been so damaged as it as been by taking these pills. It is nothing short of terrifying.  The short term memory loss alone has stopped me from taking these - I have a full jar on my night stand -I will not be swallowing any more of these pills - ever.My best advice? - DO NOT TAKE MORE THAN ONE DOSE IN A WEEK.It will buffer your hangover if you’re a weekend drinker but don’t make it a habit of relying on these pills.",Side effects are worse than hang over,4 people found this helpful,2.0 out of 5 stars
"If you've ever spent any length of time in Japan and you are a drinker, you have probably are familiar with the little 2 oz. shots of Ukon no Chikara (a tasty little Tumeric drink), that if taken right after the last drink, will absolutely prevent any hangover symptoms.  Ukon would be my choice of product, buying it as an import is quite pricey, so I was definitely up to trying something different.  I ordered the $0 trial from the website first and liked the product enough to add it to my subscribe and save auto-delivery here at Amazon.  You can also get it auto-delivered from the website, but I like that control I have over the shipment schedule through Amazon.  I don't typically drink enough to get sloshed, but I do have 2 glasses of red wine every night (maybe up to 4 on a Friday night.)  My main reason for trying the product is not so much to avoid the after-effects that next morning, but more for liver protection.  After your last drink and before bed, you swallow 3 capsules with a glass of water.  The capsules are quite large (which would be my only negative) and have a hint of mint flavor, which I like.  As I said, my reasons for trying were really more about my liver health, rather than avoiding a hangover, but I do feel better in the morning.  I feel energized and hydrated.",Works well,5 people found this helpful,4.0 out of 5 stars
"They make it hard to cancel once you subscribe, so I advise against it. Oh, and not to mention its doesn't even do anything you will notice. And their science is dubious and their controlled experiment is a total joke. Go and look up the details and you will laugh. They asked like 7 ppl if they felt better. Only thing of value is the milk thistle but you can buy that for a tiny fraction of this cost.  You are paying for branding and flashy advertisign and website which they actively design to work against you when you finally want to end the scam.",This product doesn't do anything and they are scammers,8 people found this helpful,1.0 out of 5 stars
"As a pharmacist, I was skeptical from the beginning. I was encouraged because NAC was in the ingredients list, but disappointed because the dosage is only 50 mg in three capsules. I drank 4 martinis specifically for the purpose of testing this product. I took three capsules before bed as directed. In the morning I woke up with the same hangover as usual. This product made absolutely no difference whatsoever. You can file this product under “snake oil”.",Doesn’t work,11 people found this helpful,1.0 out of 5 stars
"I'm at the age where if I even walk past a bar, I have a hangover the next day - but I still like to enjoy a good drink from time to time. It's a conundrum. I'm pretty skeptical about things that claim to cure hangovers, but considering some of the humdingers I've had over the years, I'm willing to try most anything. Prior to trying Cheers Hangover Cure, I would have said they're all snake oil or some other kind of con. But I may have to change my tune. Since buying this product, there have been 5-6 separate occasions where I've had enough to drink that I should have felt like death-warmed-over the next day. But I took Cheers Hangover Cure before going to bed, and I felt fine the next morning - each and every time. Once or twice I would have said was a fluke or something. But 5-6 times defies the laws of coincidence as far as I'm concerned. I think this stuff really works. If there's drinking involved, I plan to never be without it again.",Another drink? Don't mind if I do.,2 people found this helpful,5.0 out of 5 stars
"Starting in my late twenties, red wine would make me restless and wake many times during sleep. It progressively got worse, starting to happen with other alcoholic beverages. It didn’t matter if it was 1 or 4 drinks, vodka, beer or wine, if I was stressed or not stressed at all. I’d wake up shortly after falling asleep and suffer the whole night with anxious feelings, an inability to fall back asleep and would therefore suffer the next day due to the extremely poor sleep I had gotten. The simple solution would be don’t ever drink, right? Wrong. I love a nice glass of wine with dinner with girlfriends or want to be able to toast with champagne, grab a beer at a game, etc. I enjoy it! I was pleasantly surprised to find that Cheers was the answer! I take 3 before bed and sleep well at night. I feel good in the morning and can enjoy my light to moderate social drinking without suffering the poor sleep! Thank you Cheers. I finished one bottle then ordered 3 more so I can share with friends. Everyone who enjoys an alcoholic beverage or three :) should have this in their cupboard to keep on hand.",Be able to sleep well after wine without insomnia!,45 people found this helpful,5.0 out of 5 stars
