Review Text,Review Title,ReviewRating,Review Stars
"So I don't know how this is possible, but not only do these work, but they work better than advertised. I got drunk yesterday, because, you know, Tuesday night, and I popped one of these to see if it works.First impressions: Smells terrible. Taste isn't amazing (and it has a distinct aftertaste that you're going to need to wash down, but you were going to do that anyway), but it's not hugely unpleasant. The next day I got up and realized... huh. I am not at all hung over. As the day went on I realized that I actually feel *better than I would have if I hadn't even gotten drunk last night and it was just a normal day.*I don't know the formulation of magic you're putting into these, but keep doing it. They're too expensive to make them something that anyone could reasonably use every time they drink (unless they're like, not an alcoholic or something crazy like that) but this is definitely a product to keep around for those days when you really want to get drunk but you're taking the BAR exam tomorrow. I'd knock a star off for the smell, but these things are so amazing that they automatically get a bonus star.",Some kind of witchcraft,373 people found this helpful,5.0 out of 5 stars
"The media could not be loaded.                                                                                   Taste - Winner: PartyAidPartyAid tastes like a sports drink I've had before. Lightly carbonated is also a nice touch. Morning Recovery (w/Sugar), given how small it is, has a really strong concentrated herbal taste. It's kind of like a really warm left our for a day apple juice, but it's not pleasant. But less to drink of it that's of any help. Just type in ""taste"" in customer reviews..If you want something to drink in the morning on the way to work, I'd pick PartyAid just because I know I can't down Morning Recovery when I'm half awake. Although the taste might be a nice wake up call.Portability - Winner: Morning RecoveryBoth are drinks but Morning Recovery is 100ml which is TSA / Airplane friendly. PartyAid is not.Price - Winner: PartyAidMorning Recovery: $119.99 for 24 = $5 a canPartyAid: $59.99 for 24 = $2.50 a canSimple Math here.Science behind drink: TieMorning recovery uses a lot of East Asian Herbs for detox and well being after drinking. If you believe those things are helpful, this drink is for you. PartyAid uses supplements that focus on the neurotransmitters for mental clarity and detox.Morning RecoveryMain ingredients: DHM is from the Japanese Raisen Tree and the main thing is Morning Recovery's patented version is more bio available and absorbs better than cheaper DHM pills available by other brands.Prickly Pear & Korean Pear: Both help the liver metabolize alcohol and protect the liver.Secondary Ingredients: The usual herbs you find elsewhere: Milk Thistle, Ginseng, Green Tea Extract, Electrolytes, Vitamins B/C--PartyAidMain ingredients: L-5-Hydroxytryptophan (5-HTP) & L-Tyrosine - Both help neurotransmitters in the brain with 5-HTP focusing on serotonin and melotonin levels to keep your mood up. L-tyrosine focuses on helping your brain work during fatigue / sleep deprivation. I guess the goal is keeping your ability to think and function after drinking it feels less like a hangover.L-carnitine helps you get an energy boost when fatigued. What you see in some workout supplements.Secondary ingredients: The usual herbs you find elsewhere: Milk Thistle, Ginseng (Eleuthero Root), Zinc, Biotin, Electrolytes, Vitamins A/B/C/EYou pick what you believe works, they both take different approaches but besides the main ingredients are basically the same. No caffeine in either.--How it Works - Winner: TieBoth drinks claim the same kind of effect. And recommend taking one before and one after the night out. One drink before is good for just casual session. You wake up next day feeling good. For a heavier night out of drinking, taking both was interesting. Still kind of woke up with some headache but definitely minimized. Can't put into words but it just feels easier to get up and do your routine vs that lazy feeling of screw it I'm calling out sick.--Conclusion: Both products are similar in term of how they make you feel after drinking. If you prefer something airplane friendly and concentrated with herbs, Morning recovery might be for you.For me, the taste factor (I can't get past Morning recovery's new flavor) and the price being half of Morning Recovery, makes PartyAid my choice.",Which is best? Morning Recovery vs PartyAid,239 people found this helpful,4.0 out of 5 stars
"I am not the type of person to write reviews on Amazon, but I had to change my ways for this one.Drinking, is unfortunately my vice. I drink at least 3-4 days of the week and this takes a huge toll on my productivity the next day.  I tend to operate at 70% capacity, which quite frankly, has put me in the verge of getting fired for quite some time now. Something HAD to change or I wouldn't have a job for much longer.After an amazing day drinking event followed by an NBA watching party at our favorite brewery, once again, Sunday Scaries hit hard. My Scaries are usually appeased by my second vice, impulsive shopping.Given that my housemate is obsessed with alcohol flush, I decided to buy something for him, because, ""Hey! I may lose my job, but I will still have my friends!"" One thing brought the next, and browsing through related products (most of which I ended buying anyway), I ran into this miracle of a product.Next week comes, and the poor work performance continues. At this point, I am truly running out of options. I either stop drinking, or lose my job. Given that both options could not match/sustain my lifestyle, I decided that this Thirsty Thursday will be DIFFERENT. I frantically searched through my amazon boxes in my closet (which at this point seems more like an amazon warehouse) trying to find the Recovery bottles.These bottles contain the elixir for human life. I woke up the next morning, feeling like I was REBORN. After running a mile, I went in work, and everyone immediately realized something was off. ""You look great today BUDDY!"", ""Your skin is shining whats up with that?"" are only some of the compliments that kept pouring my way. Needless to say I have used it every day since and as a matter of fact. My work performance has finally reached acceptable levels, while I can enjoy my weekdays as I like to.I have talked to all my brajes and brajettes about this miracle of a product, and at this point I am an unofficial sales rep for them. If there is anyone reading this out there, THANK YOU for saving my Thirsty Thursdays and please consider me if any marketing positions open up!Morning Recovery is the hero I needed, but didn't deserve!",Make Thirsty Thursdays Great Again,249 people found this helpful,5.0 out of 5 stars
"Definitely work's, exspensive but worth it when you drink heavy liquor and up all night for 3 days in a row. Only thing is, 6 pack will only last you 1 weekend. Fri 2, sat 2, & sun 2. You have to drink 1 before your first drink and again after your last drink for it to actually work. Don't just take 1 after drinking, it doesn't work trust me, I've been using these for 2 months. My 1st and last mistake was only taking 1 after my last drink. No good doesn't work. After that failed morning after, i did the 2 and next morning felt good. I was able to get up and motivated and get things done without that awful hungover feeling!",Great,80 people found this helpful,5.0 out of 5 stars
"Long time user of Morning Recovery since version 1. Here’s my feedback.⁃I’m excited for this company. Whatever they’re doing in the lab, it works better and better each time. I get the science. They’ve made it easy to understand (pills vs Morning Recovery)⁃This version works better than version 2. I just feel much clear headed in the morning than the previous version (which was still great and above my expectations). I get my money’s worth for every bottle by having ingredients that actually get absorbed into my body.⁃Do I get crazy and irresponsible with drinking? No - I just get really bad hangovers. Two glasses of wine give me terrible headaches.⁃Taste? It’s not that bad, and perhaps not the best and greatest for everyone. But the product delivers. I’m the type of person that would rather face ugly truths than pretty lies. I’d drink this to know it works for me in the morning than talking about how it tastes.Overall, I’m a satisfied customer and I’ve recommended this product countless times. Looking forward to trying the sugar-free version when available!",Best product I tried,77 people found this helpful,5.0 out of 5 stars
This product made us actually feel worse the next day & only prolonged our hangover,Not worth the money,70 people found this helpful,1.0 out of 5 stars
"Hands down the best hangover prevention I have sampled - it has me drinking like a college freshman on probation again.Typically after a night of heavy drinking, I tend to binge watching clips of the Olympics to remind myself what energetic people look like. But one serving of this bad boy before I go out, and I don’t have to cancel my plans because I went out the night before.Not only that, but this product has dynamically changed my recovery process. I used to seek shelter in fried food and unholy volumes of soup. But that is in the past - I am no longer at the whims of my sensitive stomach because I can avoid being hungover all together. Trust me when I tell you, the other products don’t hold a candle to this weekend saving elixir.",Magic Elixir,51 people found this helpful,5.0 out of 5 stars
"I was pretty skeptical but a friend of mine swears by it, so I've tried Morning Recovery many times, and have never felt a bit hungover the night after revelry that concluded with a morning recovery.  As witness to this: imagine you are so tipsy that you think it's hilarious to pose your kitten with a beverage you bought online and in its box.  Well indeed we were once that tipsy, and you can see the results above, and indeed ladies and gentlemen even after a night that was that... silly: no hangover.  And it tastes great so there's really nothing to lose: try it and see if it works for you",works great and tastes great,28 people found this helpful,5.0 out of 5 stars
"This was nice because it was already made, and I just popped it in the fridge. I didn't realize until I bought it that you're supposed to drink them all throughout the night while you're consuming alcohol. For the price of these - that is ridiculous. I only drank 1 within 1 hour of stopping drinking and I felt fine the next day; however, I only had 4 beers. I'm not sure how it would work for heavy drinking. It smelled like fruitloops soaking in milk, and it tasted ok. I was aggravated because within the packaging there was a promotional offer that told me to text a number and I would be able to send a free 6 pack of these to a friend. As soon as I texted the number, I got a response saying that the promotion changed to getting people to purchase a 6 pack with $10 off coupon which would allow me to bank $10 off my next purchase. That was really annoying because the promotion card was for a free 6 pack for a friend. I feel that they should be responsible for honoring what was in the packaging. I understand changing the promotion, but at least honor what you have left in terms of packaging. This set me up for something and let me down. From now own I will buy Liquid IV and pedialyte for much less and to serve the same purpose.",Expensive product - pedialyte is cheaper,15 people found this helpful,2.0 out of 5 stars
"I cannot emphasize how disappointing this ""so called"" anti-hangover drink was.  I put this item to the test while on a weekend trip to the river. I did my drinking and took Morning Recovery as directed. Hoping to feel like a new man the following day, instead I was feeling like crap for the next two days. To add, I even took an additional Recovery in between my drinks. DO NOT WASTE YOUR MONEY ON THIS PRODUCT. You are better off taking some ibuprofen and water with your alcohol...heck of a lot cheaper.",Terrible product!!!,23 people found this helpful,1.0 out of 5 stars
